id,origin,destination,start_time,kind
0,0,0,1780,Human
1,1,1,20,Human
2,2,2,29,Human
3,3,3,1000,Human
4,4,4,104,Human
5,5,5,1280,Human
6,6,6,241,Human
7,7,7,1270,Human
8,8,8,521,Human
9,9,9,150,Human
10,10,10,886,Human
11,11,11,1678,Human
12,12,12,914,Human
13,13,13,954,Human
14,14,14,883,Human
15,15,15,1780,Human
16,16,16,506,Human
17,17,17,353,Human
18,18,18,120,Human
19,19,19,1153,Human
20,20,20,1518,Human
21,21,21,1359,Human
22,9,22,1409,Human
23,22,23,1516,Human
24,23,24,771,Human
25,24,9,1209,Human
26,25,25,1083,Human
27,26,26,1037,Human
28,12,20,772,Human
29,27,27,1132,Human
30,28,7,1435,Human
31,29,28,368,Human
32,30,4,1299,Human
33,31,29,536,Human
34,32,30,681,Human
35,33,31,1109,Human
36,34,32,1730,Human
37,35,33,765,Human
38,36,34,1336,Human
39,37,35,431,Human
40,38,36,494,Human
41,39,15,1592,Human
42,40,37,1,Human
43,41,38,476,Human
44,42,39,1076,Human
45,43,19,1318,Human
46,44,40,1449,Human
47,45,41,922,Human
48,46,42,824,Human
49,47,43,348,Human
50,48,44,200,Human
51,49,45,929,Human
52,50,46,466,Human
53,51,47,1669,Human
54,52,48,469,Human
55,53,49,56,Human
56,54,50,744,Human
57,55,51,264,Human
58,56,52,1492,Human
59,57,53,487,Human
60,58,20,728,Human
61,59,52,757,Human
62,60,54,362,Human
63,61,55,803,Human
64,62,56,803,Human
65,4,57,1208,Human
66,63,58,1582,Human
67,64,59,402,Human
68,65,60,1211,Human
69,66,31,212,Human
70,67,61,1036,Human
71,68,62,685,Human
72,69,63,331,Human
73,70,64,120,Human
74,71,65,1340,Human
75,72,66,1055,Human
76,73,4,1248,Human
77,74,67,1791,Human
78,75,68,1069,Human
79,76,69,384,Human
80,77,70,1287,Human
81,78,71,1022,Human
82,79,72,1622,Human
83,80,73,1286,Human
84,42,32,851,Human
85,81,38,1451,Human
86,82,74,788,Human
87,83,75,129,Human
88,84,76,965,Human
89,85,77,250,Human
90,86,78,533,Human
91,56,79,1405,Human
92,87,80,1164,Human
93,88,4,502,Human
94,89,81,1202,Human
95,90,82,1589,Human
96,91,83,118,Human
97,92,84,1010,Human
98,93,85,1610,Human
99,94,86,1252,Human
100,95,87,1541,Human
101,96,88,227,Human
102,97,89,192,Human
103,98,90,1311,Human
104,99,91,2,Human
105,100,92,93,Human
106,101,47,578,Human
107,102,93,1649,Human
108,103,94,1262,Human
109,104,95,120,Human
110,105,96,1650,Human
111,106,82,172,Human
112,107,97,281,Human
113,108,98,203,Human
114,109,99,839,Human
115,110,100,1439,Human
116,70,89,581,Human
117,111,101,805,Human
118,112,10,222,Human
119,113,102,1185,Human
120,114,103,1556,Human
121,115,104,1752,Human
122,116,102,1772,Human
123,117,105,1096,Human
124,118,106,361,Human
125,119,107,609,Human
126,120,4,816,Human
127,121,108,4,Human
128,122,109,1337,Human
129,123,110,578,Human
130,124,111,384,Human
131,125,112,1080,Human
132,126,84,1424,Human
133,127,113,1071,Human
134,128,65,1671,Human
135,129,114,146,Human
136,130,115,746,Human
137,131,116,1192,Human
138,132,12,760,Human
139,133,117,1755,Human
140,134,118,1612,Human
141,135,119,435,Human
142,136,120,434,Human
143,137,35,668,Human
144,138,4,1460,Human
145,139,121,537,Human
146,140,122,552,Human
147,39,123,1152,Human
148,141,57,1473,Human
149,142,124,1279,Human
150,143,29,1055,Human
151,144,125,1655,Human
152,145,122,1114,Human
153,39,126,1714,Human
154,146,127,1336,Human
155,147,128,1343,Human
156,148,129,448,Human
157,149,130,66,Human
158,150,131,974,Human
159,62,132,101,Human
160,151,55,863,Human
161,152,12,1323,Human
162,153,29,1213,Human
163,154,117,1457,Human
164,155,133,815,Human
165,156,134,1415,Human
166,157,135,1581,Human
167,158,58,1165,Human
168,159,136,717,Human
169,160,137,1496,Human
170,161,138,964,Human
171,162,139,414,Human
172,163,90,209,Human
173,164,140,272,Human
174,42,141,694,Human
175,165,7,1504,Human
176,166,142,1565,Human
177,167,143,85,Human
178,168,144,349,Human
179,169,131,1549,Human
180,62,145,1323,Human
181,26,47,406,Human
182,170,146,831,Human
183,171,147,150,Human
184,172,148,270,Human
185,173,149,1773,Human
186,174,150,881,Human
187,175,46,894,Human
188,176,15,262,Human
189,177,151,1349,Human
190,178,82,961,Human
191,179,152,653,Human
192,180,153,1467,Human
193,181,13,114,Human
194,182,154,1374,Human
195,183,155,1397,Human
196,184,156,1042,Human
197,94,47,384,Human
198,185,117,1720,Human
199,186,157,750,Human
200,187,158,34,Human
201,188,159,634,Human
202,189,19,1335,Human
203,190,12,727,Human
204,191,61,861,Human
205,192,109,258,Human
206,193,160,747,Human
207,194,13,18,Human
208,195,161,1359,Human
209,196,117,1542,Human
210,197,162,1725,Human
211,198,163,850,Human
212,41,164,1515,Human
213,199,165,1574,Human
214,200,166,908,Human
215,201,62,485,Human
216,136,167,549,Human
