id,origin,destination,start_time,kind
0,0,0,570,Human
1,1,1,1103,Human
2,2,2,621,Human
3,3,3,979,Human
4,4,4,1651,Human
5,5,5,1083,Human
6,0,6,493,Human
7,6,3,689,Human
8,7,7,731,Human
9,8,4,492,Human
10,9,8,76,Human
11,10,9,715,Human
12,11,10,633,Human
13,12,11,46,Human
14,13,12,1206,Human
15,14,9,306,Human
16,15,13,1556,Human
17,16,14,1033,Human
18,17,15,651,Human
19,18,16,1502,Human
20,19,17,1218,Human
21,13,18,428,Human
22,20,19,1694,Human
23,21,16,1633,Human
24,22,4,809,Human
25,23,5,1583,Human
26,24,20,383,Human
27,25,21,258,Human
28,26,22,529,Human
29,27,23,323,Human
30,28,24,1285,Human
31,29,25,1507,Human
32,30,26,145,Human
33,31,27,1045,Human
34,32,28,1664,Human
35,33,29,675,Human
36,34,30,386,Human
37,35,31,706,Human
38,12,32,1066,Human
39,36,33,1436,Human
40,37,34,1727,Human
41,38,35,128,Human
42,39,36,1359,Human
43,40,37,105,Human
44,27,33,1651,Human
45,41,5,82,Human
46,42,38,1245,Human
47,43,39,1556,Human
48,44,40,1002,Human
49,45,41,400,Human
50,46,42,1312,Human
51,47,43,1609,Human
52,48,44,1328,Human
53,49,45,684,Human
54,50,28,1586,Human
55,51,5,1073,Human
56,48,46,20,Human
57,52,47,411,Human
58,53,48,582,Human
59,54,38,1064,Human
60,55,49,1330,Human
61,56,50,473,Human
62,57,51,1528,Human
63,58,52,46,Human
64,37,33,1452,Human
65,59,5,1704,Human
66,60,16,278,Human
67,61,53,1179,Human
68,62,54,627,Human
69,63,55,717,Human
70,64,56,1,Human
71,37,38,1179,Human
72,65,33,826,Human
73,66,57,176,Human
74,21,58,37,Human
75,67,59,301,Human
76,68,60,1665,Human
77,69,61,611,Human
78,70,62,672,Human
79,71,63,98,Human
80,72,64,636,Human
81,73,65,617,Human
82,74,66,718,Human
83,75,9,589,Human
84,23,21,793,Human
85,76,67,1753,Human
86,44,44,1395,Human
87,77,9,900,Human
88,78,68,353,Human
89,79,69,953,Human
90,27,16,1590,Human
91,80,70,1621,Human
92,81,71,172,Human
93,11,72,1073,Human
94,82,73,939,Human
95,83,16,1409,Human
96,84,74,933,Human
97,85,75,300,Human
98,86,76,229,Human
99,87,77,342,Human
100,8,9,163,Human
101,88,16,1662,Human
102,53,34,462,Human
103,89,42,191,Human
104,27,15,1107,Human
105,31,78,891,Human
106,90,79,830,Human
107,91,80,1730,Human
108,92,30,139,Human
109,37,21,983,Human
110,93,16,759,Human
111,35,16,785,Human
112,94,81,1280,Human
113,95,16,1421,Human
114,96,82,1497,Human
115,97,16,16,Human
116,98,33,1131,Human
117,98,33,778,Human
118,86,83,1678,Human
119,99,56,1112,Human
120,27,84,1136,Human
121,100,32,202,Human
122,101,85,575,Human
123,102,30,200,Human
124,6,33,1328,Human
125,103,33,389,Human
126,104,33,552,Human
127,86,86,729,Human
128,105,33,1439,Human
129,38,2,989,Human
130,21,33,1551,Human
131,106,87,977,Human
132,107,88,18,Human
133,108,21,420,Human
134,37,89,734,Human
135,86,90,136,Human
136,109,77,307,Human
137,110,33,839,Human
138,63,91,1361,Human
139,111,2,88,Human
140,112,92,1267,Human
141,102,93,331,Human
142,113,56,1370,Human
143,114,94,1087,Human
144,27,95,1635,Human
145,115,96,1278,Human
146,79,24,582,Human
147,116,97,902,Human
148,117,16,1337,Human
149,118,98,1676,Human
150,86,56,749,Human
151,109,99,946,Human
152,95,56,185,Human
153,119,87,941,Human
154,120,100,153,Human
155,121,101,115,Human
156,37,102,791,Human
157,27,71,424,Human
158,122,65,636,Human
159,123,103,1214,Human
160,124,24,286,Human
161,17,104,1120,Human
162,33,105,1501,Human
163,112,32,458,Human
164,125,106,1358,Human
165,126,98,207,Human
166,37,107,562,Human
167,93,108,3,Human
168,127,42,603,Human
169,128,71,1007,Human
170,129,109,406,Human
171,130,110,864,Human
172,131,111,1291,Human
173,132,112,841,Human
174,133,113,178,Human
175,134,114,1602,Human
176,135,68,1180,Human
177,96,115,962,Human
178,136,116,1343,Human
179,137,93,752,Human
180,96,117,1352,Human
181,138,33,598,Human
182,139,101,750,Human
183,140,118,1350,Human
184,141,119,188,Human
185,142,120,1278,Human
186,143,121,546,Human
187,144,122,1714,Human
188,145,16,1722,Human
