id,origin,destination,start_time,kind
0,0,0,1658,Human
1,1,1,113,Human
2,2,2,318,Human
3,3,3,913,Human
4,4,4,214,Human
5,5,5,1711,Human
6,6,6,297,Human
7,7,5,378,Human
8,8,7,978,Human
9,9,8,237,Human
10,10,9,1785,Human
11,11,10,480,Human
12,12,11,238,Human
13,13,12,969,Human
14,14,13,1659,Human
15,15,14,1339,Human
16,16,15,901,Human
17,17,16,1402,Human
18,18,17,266,Human
19,19,18,1750,Human
20,6,19,131,Human
21,20,3,1093,Human
22,21,20,593,Human
23,22,21,976,Human
24,23,22,620,Human
25,24,23,705,Human
26,25,24,1305,Human
27,26,25,1084,Human
28,18,26,681,Human
29,27,27,1617,Human
30,28,28,502,Human
31,29,29,1402,Human
32,30,3,1755,Human
33,31,30,834,Human
34,1,31,306,Human
35,32,32,943,Human
36,33,33,1395,Human
37,34,34,480,Human
38,21,35,1063,Human
39,35,5,645,Human
40,36,36,1447,Human
41,37,21,226,Human
42,38,37,188,Human
43,39,38,1675,Human
44,20,2,1370,Human
45,40,39,779,Human
46,41,36,505,Human
47,42,5,1193,Human
48,43,40,1269,Human
49,44,41,403,Human
50,45,42,1165,Human
51,46,41,1723,Human
52,2,43,109,Human
53,47,44,1162,Human
54,1,45,407,Human
55,48,12,280,Human
56,49,46,432,Human
57,50,47,98,Human
58,51,7,622,Human
59,4,4,423,Human
60,52,29,684,Human
61,53,34,852,Human
62,54,48,36,Human
63,55,49,39,Human
64,56,50,1465,Human
65,57,51,1446,Human
66,58,52,656,Human
67,59,53,1175,Human
68,60,54,1775,Human
69,61,13,858,Human
70,62,55,1458,Human
71,63,25,629,Human
72,64,56,1229,Human
73,65,57,490,Human
74,66,58,1090,Human
75,67,59,515,Human
76,13,60,825,Human
77,68,61,1425,Human
78,69,62,253,Human
79,70,63,1346,Human
80,30,64,154,Human
81,71,65,754,Human
82,72,66,1798,Human
83,73,67,987,Human
84,74,68,1587,Human
85,75,69,1202,Human
86,76,70,517,Human
87,77,9,961,Human
88,78,71,1439,Human
89,79,72,108,Human
90,53,73,1608,Human
91,80,74,1266,Human
92,81,30,962,Human
93,82,28,1453,Human
94,83,75,343,Human
95,84,9,1409,Human
96,85,29,381,Human
97,86,76,240,Human
98,87,77,143,Human
99,21,78,1696,Human
100,8,79,1601,Human
101,88,80,1412,Human
102,89,81,1346,Human
